frame_count,fps,model_time,num_faces,image_width,image_height,image_channels
368,15.4283548481127,0.06930756568908691,0,640,480,3
369,15.432317700434579,0.05389404296875,0,640,480,3
370,15.435997066798215,0.054284095764160156,0,640,480,3
371,15.428311949375194,0.0719156265258789,0,640,480,3
372,15.428162079597882,0.05307197570800781,0,640,480,3
373,15.4316068564048,0.05456900596618652,0,640,480,3
374,15.428584911579282,0.06477046012878418,0,640,480,3
375,15.431808696763493,0.05495142936706543,0,640,480,3
376,15.435455378771044,0.05417776107788086,0,640,480,3
377,15.438227941757171,0.05563640594482422,0,640,480,3
378,15.442158244537058,0.053780317306518555,0,640,480,3
379,15.439744206513929,0.06372690200805664,0,640,480,3
380,15.437665846723203,0.06308269500732422,0,640,480,3
381,15.441048197636704,0.05443716049194336,0,640,480,3
382,15.443837742247098,0.05552315711975098,0,640,480,3
383,15.447580399987926,0.053998470306396484,0,640,480,3
384,15.444055377806063,0.0656130313873291,0,640,480,3
385,15.439007428742235,0.06466221809387207,0,640,480,3
386,15.4233185769736,0.08538484573364258,0,640,480,3
387,15.415891153867445,0.07319164276123047,0,640,480,3
388,15.406282255682607,0.06846880912780762,0,640,480,3
389,15.40180838005792,0.06731724739074707,0,640,480,3
390,15.401615716384502,0.06017589569091797,1,640,480,3
391,15.403770732644388,0.056493282318115234,1,640,480,3
392,15.405720476931352,0.056688785552978516,0,640,480,3
393,15.40050044948295,0.06871795654296875,1,640,480,3
394,15.39555568739027,0.06794047355651855,1,640,480,3
395,15.392872114315105,0.06419610977172852,1,640,480,3
396,15.396015928263324,0.05491209030151367,1,640,480,3
397,15.397903884542613,0.05709433555603027,1,640,480,3
398,15.401104412562162,0.0547947883605957,1,640,480,3
399,15.399591685129081,0.06267023086547852,1,640,480,3
400,15.397439017698439,0.06376433372497559,1,640,480,3
401,15.389090558273303,0.0742793083190918,0,640,480,3
402,15.391441232923931,0.05622220039367676,0,640,480,3
403,15.39147807193728,0.060089111328125,0,640,480,3
404,15.39050288959732,0.06178998947143555,0,640,480,3
405,15.393210539956177,0.055414676666259766,0,640,480,3
406,15.396657350063533,0.05413079261779785,0,640,480,3
407,15.389935038831537,0.0716853141784668,0,640,480,3
408,15.385732744074202,0.06738734245300293,0,640,480,3
409,15.384040179951633,0.06305217742919922,0,640,480,3
410,15.38671620485288,0.055639028549194336,0,640,480,3
411,15.389579068695552,0.05522608757019043,0,640,480,3
412,15.392426076588642,0.05520176887512207,0,640,480,3
413,15.394894893667228,0.05592155456542969,0,640,480,3
414,15.391027768276059,0.0668630599975586,0,640,480,3
415,15.383719403110653,0.06539726257324219,0,640,480,3
416,15.38688679524981,0.054488420486450195,0,640,480,3
417,15.385169413386311,0.06312894821166992,0,640,480,3
418,15.387549608443695,0.05668163299560547,0,640,480,3
419,15.389488859453063,0.056528329849243164,0,640,480,3
420,15.387277776284613,0.06413388252258301,0,640,480,3
421,15.390894721003129,0.05380392074584961,0,640,480,3
422,15.392822193685435,0.056549072265625,0,640,480,3
423,15.390213035612527,0.06470155715942383,0,640,480,3
424,15.383723095545903,0.07185101509094238,0,640,480,3
425,15.383894834930375,0.059894561767578125,0,640,480,3
426,15.383212005647172,0.06118488311767578,0,640,480,3
427,15.385402083578253,0.056242942810058594,0,640,480,3
428,15.38834402973826,0.05490446090698242,0,640,480,3
429,15.384598158225593,0.06701087951660156,0,640,480,3
430,15.382511578351414,0.06393957138061523,1,640,480,3
431,15.380135191569034,0.06446456909179688,0,640,480,3
432,15.372116451346187,0.0752406120300293,1,640,480,3
433,15.374634990397528,0.05566215515136719,0,640,480,3
434,15.369519706882773,0.06970906257629395,0,640,480,3
435,15.36407332129777,0.07030177116394043,0,640,480,3
436,15.355866436659639,0.07523727416992188,0,640,480,3
437,15.348131717457916,0.0745382308959961,1,640,480,3
438,15.344144124399492,0.06879448890686035,1,640,480,3
439,15.340614488394438,0.06226348876953125,1,640,480,3
440,15.33835643556934,0.06464457511901855,1,640,480,3
441,15.33545357551761,0.06546282768249512,1,640,480,3
442,15.33805783211836,0.05544614791870117,1,640,480,3
443,15.340117629079389,0.05652928352355957,0,640,480,3
444,15.335782836594346,0.0684361457824707,0,640,480,3
445,15.33835655159127,0.05560612678527832,1,640,480,3
446,15.332381476253614,0.07177448272705078,0,640,480,3
447,15.325090761851566,0.07426691055297852,0,640,480,3
448,15.320521525877307,0.06421947479248047,0,640,480,3
449,15.320065538334157,0.06085801124572754,1,640,480,3
450,15.309026845940522,0.08112311363220215,0,640,480,3
451,15.293990800697756,0.09035444259643555,0,640,480,3
452,15.275908130414573,0.09607863426208496,1,640,480,3
